Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
12,60,RL,85.0,11924,IR1,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,No,GLQ,998,177,1175,Ex,1182,1142,2324,1,3,0,4,Ex,11,2,BuiltIn,2005.0,Fin,3,736,147,21,7,2006,New,Partial,345000
14,20,RL,91.0,10652,IR1,Inside,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,Av,Unf,0,1494,1494,Ex,1494,0,1494,0,2,0,3,Gd,7,1,Attchd,2006.0,RFn,3,840,160,33,8,2007,New,Partial,279500
16,45,RM,51.0,6120,Reg,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,832,832,Ex,854,0,854,0,1,0,2,TA,5,0,Detchd,1991.0,Unf,2,576,48,112,7,2007,WD,Normal,132000
19,20,RL,66.0,13695,Reg,Inside,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,No,GLQ,646,468,1114,Ex,1114,0,1114,1,1,1,3,Gd,6,0,Detchd,2004.0,Unf,2,576,0,102,6,2008,WD,Normal,159000
20,20,RL,70.0,7560,Reg,Inside,NAmes,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,No,LwQ,504,525,1029,TA,1339,0,1339,0,1,0,3,TA,6,0,Attchd,1958.0,Unf,1,294,0,0,5,2009,COD,Abnorml,139000
21,60,RL,101.0,14215,IR1,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,Av,Unf,0,1158,1158,Ex,1158,1218,2376,0,3,1,4,Gd,9,1,BuiltIn,2005.0,RFn,3,853,240,154,11,2006,New,Partial,325300
22,45,RM,57.0,7449,Reg,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,637,637,Ex,1108,0,1108,0,1,0,3,Gd,6,1,Attchd,1930.0,Unf,1,280,0,0,6,2007,WD,Normal,139400
23,20,RL,75.0,9742,Reg,Inside,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,No,Unf,0,1777,1777,Ex,1795,0,1795,0,2,0,3,Gd,7,1,Attchd,2002.0,RFn,2,534,171,159,9,2008,WD,Normal,230000
24,120,RM,44.0,4224,Reg,Inside,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,No,GLQ,840,200,1040,TA,1060,0,1060,1,1,0,3,TA,6,1,Attchd,1976.0,Unf,2,572,100,110,6,2007,WD,Normal,129900
26,20,RL,110.0,14230,Reg,Corner,NridgHt,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,No,Unf,0,1566,1566,Ex,1600,0,1600,0,2,0,3,Gd,7,1,Attchd,2007.0,RFn,3,890,0,56,7,2009,WD,Normal,256300
27,20,RL,60.0,7200,Reg,Corner,NAmes,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Mn,BLQ,234,180,900,TA,900,0,900,0,1,0,3,Gd,5,0,Detchd,2005.0,Unf,2,576,222,32,5,2010,WD,Normal,134800
28,20,RL,98.0,11478,Reg,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,No,GLQ,1218,486,1704,Ex,1704,0,1704,1,2,0,3,Gd,7,1,Attchd,2008.0,RFn,3,772,0,50,5,2010,WD,Normal,306000
29,20,RL,47.0,16321,IR1,CulDSac,NAmes,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,Gd,BLQ,1277,207,1484,TA,1600,0,1600,1,1,0,2,TA,6,2,Attchd,1957.0,RFn,1,319,288,258,12,2006,WD,Normal,207500
30,30,RM,60.0,6324,IR1,Inside,BrkSide,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,520,520,Fa,520,0,520,0,1,0,1,Fa,4,0,Detchd,1920.0,Unf,1,240,49,0,5,2008,WD,Normal,68500
31,70,C (all),50.0,8500,Reg,Inside,IDOTRR,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,No,Unf,0,649,649,TA,649,668,1317,0,1,0,3,TA,6,0,Detchd,1920.0,Unf,1,250,0,54,7,2008,WD,Normal,40000
33,20,RL,85.0,11049,Reg,Corner,CollgCr,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,Av,Unf,0,1234,1234,Ex,1234,0,1234,0,2,0,3,Gd,7,0,Attchd,2007.0,RFn,2,484,0,30,1,2008,WD,Normal,179900
34,20,RL,70.0,10552,IR1,Inside,NAmes,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,No,Rec,1018,380,1398,Gd,1700,0,1700,0,1,1,4,Gd,6,1,Attchd,1959.0,RFn,2,447,0,38,4,2010,WD,Normal,165500
35,120,RL,60.0,7313,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,No,GLQ,1153,408,1561,Ex,1561,0,1561,1,2,0,2,Ex,6,1,Attchd,2005.0,Fin,2,556,203,47,8,2007,WD,Normal,277500
36,60,RL,108.0,13418,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,Av,Unf,0,1117,1117,Ex,1132,1320,2452,0,3,1,4,Gd,9,1,BuiltIn,2004.0,Fin,3,691,113,32,9,2006,WD,Normal,309000
37,20,RL,112.0,10859,Reg,Corner,CollgCr,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,No,Unf,0,1097,1097,Ex,1097,0,1097,0,1,1,3,TA,6,0,Attchd,1995.0,Unf,2,672,392,64,6,2009,WD,Normal,145000
38,20,RL,74.0,8532,Reg,Inside,NAmes,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,No,Rec,1213,84,1297,Gd,1297,0,1297,0,1,0,3,TA,5,1,Attchd,1954.0,Fin,2,498,0,0,10,2009,WD,Normal,153000
39,20,RL,68.0,7922,Reg,Inside,NAmes,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,No,GLQ,731,326,1057,TA,1057,0,1057,1,1,0,3,Gd,5,0,Detchd,1953.0,Unf,1,246,0,52,1,2010,WD,Abnorml,109000
41,20,RL,84.0,8658,Reg,Inside,NAmes,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,No,Rec,643,445,1088,Ex,1324,0,1324,0,2,0,3,TA,6,1,Attchd,1965.0,RFn,2,440,0,138,12,2006,WD,Abnorml,160000
42,20,RL,115.0,16905,Reg,Inside,Timber,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,Gd,BLQ,967,383,1350,Gd,1328,0,1328,0,1,1,2,TA,5,2,Attchd,1959.0,RFn,1,308,0,104,7,2007,WD,Normal,170000
45,20,RL,70.0,7945,Reg,Inside,NAmes,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,ALQ,179,465,1150,Ex,1150,0,1150,1,1,0,3,TA,6,0,Attchd,1959.0,RFn,1,300,0,0,5,2006,WD,Normal,141000
46,120,RL,61.0,7658,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,No,GLQ,456,1296,1752,Ex,1752,0,1752,1,2,0,2,Ex,6,1,Attchd,2005.0,RFn,2,576,196,82,2,2010,WD,Normal,319900
47,50,RL,48.0,12822,IR1,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,No,GLQ,1351,83,1434,Ex,1518,631,2149,1,1,1,1,Gd,6,1,Attchd,2003.0,RFn,2,670,168,43,8,2009,WD,Abnorml,239686
48,20,FV,84.0,11096,Reg,Inside,Somerst,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,GLQ,24,1632,1656,Ex,1656,0,1656,0,2,0,3,Gd,7,0,Attchd,2006.0,RFn,3,826,0,146,7,2007,WD,Normal,249700
50,20,RL,66.0,7742,Reg,Inside,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,BLQ,763,192,955,Ex,955,0,955,1,1,0,3,TA,6,0,Attchd,1966.0,Unf,1,386,0,0,1,2007,WD,Normal,127000
52,50,RM,52.0,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,816,816,TA,816,0,1176,0,1,0,3,TA,6,1,Detchd,1985.0,Unf,2,528,112,0,9,2006,WD,Normal,114500
53,90,RM,110.0,8472,IR2,Corner,IDOTRR,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,Gd,LwQ,104,0,816,TA,816,0,816,1,1,0,2,TA,5,0,CarPort,1963.0,Unf,2,516,106,0,5,2010,WD,Normal,110000
54,20,RL,68.0,50271,IR1,Inside,Veenker,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,Gd,GLQ,1810,32,1842,Gd,1842,0,1842,2,0,1,0,Gd,5,1,Attchd,1981.0,Fin,3,894,857,72,11,2006,WD,Normal,385000
55,80,RL,60.0,7134,Reg,Inside,NAmes,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,No,ALQ,384,0,384,TA,1360,0,1360,0,1,0,3,TA,6,1,Detchd,1962.0,Unf,2,572,0,50,2,2007,WD,Normal,130000
56,20,RL,100.0,10175,IR1,Inside,NAmes,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,No,BLQ,490,935,1425,Gd,1425,0,1425,0,2,0,3,TA,7,1,Attchd,1964.0,RFn,2,576,0,0,7,2008,WD,Normal,180500
57,160,FV,24.0,2645,Reg,Inside,Somerst,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,No,GLQ,649,321,970,Ex,983,756,1739,1,2,1,3,Gd,7,0,Attchd,1999.0,Fin,2,480,115,0,8,2009,WD,Abnorml,172500
58,60,RL,89.0,11645,IR1,Corner,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,No,Unf,0,860,860,Ex,860,860,1720,0,2,1,3,Gd,7,0,Attchd,2004.0,RFn,2,565,0,70,8,2006,WD,Normal,196500
59,60,RL,66.0,13682,IR2,CulDSac,StoneBr,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,Gd,Unf,0,1410,1410,Ex,1426,1519,2945,0,3,1,3,Gd,10,1,BuiltIn,2006.0,Fin,3,641,192,0,10,2006,New,Partial,438780
60,20,RL,60.0,7200,Reg,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,Av,ALQ,632,148,780,Ex,780,0,780,0,1,0,2,TA,4,0,Detchd,1973.0,Unf,1,352,196,0,1,2008,WD,Normal,124900
61,20,RL,63.0,13072,Reg,Inside,SawyerW,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,No,ALQ,941,217,1158,Ex,1158,0,1158,1,1,1,3,Gd,5,0,Detchd,2006.0,Unf,2,576,0,50,5,2006,New,Partial,158000
62,75,RM,60.0,7200,Reg,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,530,530,TA,581,530,1111,0,1,0,3,Fa,6,0,Detchd,1935.0,Unf,1,288,0,0,3,2007,WD,Normal,101000
63,120,RL,44.0,6442,IR1,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Mn,GLQ,24,1346,1370,Ex,1370,0,1370,0,2,0,2,Gd,6,1,Attchd,2006.0,RFn,2,484,120,49,10,2007,WD,Normal,202500
64,70,RM,50.0,10300,IR1,Inside,OldTown,1Fam,2Story,7,6,1921,1950,Gable,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,576,576,Gd,902,808,1710,0,2,0,3,TA,9,0,Detchd,1990.0,Unf,2,480,12,11,4,2010,WD,Normal,140000
66,60,RL,76.0,9591,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,344.0,Gd,TA,PConc,Ex,Av,Unf,0,1143,1143,Ex,1143,1330,2473,0,2,1,4,Gd,9,1,BuiltIn,2004.0,RFn,3,852,192,151,10,2007,WD,Normal,317000
68,20,RL,72.0,10665,IR1,Inside,CollgCr,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,167.0,Gd,TA,PConc,Gd,Av,GLQ,1013,440,1453,Ex,1479,0,1479,1,2,0,3,Gd,7,0,Attchd,2003.0,RFn,2,558,144,29,6,2007,WD,Normal,226000
69,30,RM,47.0,4608,Reg,Corner,OldTown,1Fam,1Story,4,6,1945,1950,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,No,Unf,0,747,747,TA,747,0,747,0,1,0,2,TA,4,0,Attchd,1945.0,Unf,1,220,0,0,6,2010,WD,Normal,80000
70,50,RL,81.0,15593,Reg,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,1953,Gable,BrkFace,AsbShng,None,0.0,Gd,TA,CBlock,TA,No,BLQ,603,701,1304,TA,1304,983,2287,0,2,0,3,TA,7,1,Attchd,1953.0,Fin,2,667,0,21,7,2006,WD,Normal,225000
71,20,RL,95.0,13651,IR1,Inside,NAmes,1Fam,1Story,7,6,1973,1973,Gable,Plywood,Plywood,BrkFace,1115.0,TA,Gd,CBlock,Gd,Gd,ALQ,1880,343,2223,Ex,2223,0,2223,1,2,0,3,TA,8,2,Attchd,1973.0,Fin,2,516,300,0,2,2007,WD,Normal,244000
72,20,RL,69.0,7599,Reg,Corner,Mitchel,1Fam,1Story,4,6,1982,2006,Gable,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,No,ALQ,565,280,845,TA,845,0,845,1,1,0,2,TA,4,0,Detchd,1987.0,Unf,2,360,0,0,6,2007,WD,Normal,129500
73,60,RL,74.0,10141,IR1,Corner,Gilbert,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,40.0,TA,TA,PConc,Gd,No,Unf,0,832,832,Gd,885,833,1718,0,2,1,3,TA,7,1,Attchd,1998.0,Fin,2,427,0,94,12,2009,WD,Normal,185000
74,20,RL,85.0,10200,Reg,Inside,NAmes,1Fam,1Story,5,7,1954,2003,Gable,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,TA,CBlock,TA,No,ALQ,320,404,1086,Gd,1086,0,1086,1,1,0,3,TA,6,0,Attchd,1989.0,Unf,2,490,0,0,5,2010,WD,Normal,144900
75,50,RM,60.0,5790,Reg,Corner,OldTown,1Fam,2Story,3,6,1915,1950,Gambrel,VinylSd,VinylSd,None,0.0,Gd,Gd,CBlock,Fa,No,Unf,0,840,840,Gd,840,765,1605,0,2,0,3,TA,8,0,Detchd,1915.0,Unf,1,379,0,0,5,2010,WD,Normal,107400
76,180,RM,21.0,1596,Reg,Inside,MeadowV,Twnhs,SLvl,4,5,1973,1973,Gable,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,Gd,GLQ,462,0,462,TA,526,462,988,1,1,0,2,TA,5,0,BuiltIn,1973.0,Unf,1,297,120,101,11,2009,WD,Normal,91000
78,50,RM,50.0,8635,Reg,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,No,BLQ,336,295,672,TA,1072,213,1285,1,1,0,2,TA,6,0,Detchd,1948.0,Unf,1,240,0,0,1,2008,WD,Normal,127000
80,50,RM,60.0,10440,Reg,Corner,OldTown,1Fam,2Story,5,6,1910,1981,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,440,440,Gd,682,548,1230,0,1,1,2,TA,5,0,Detchd,1966.0,Unf,2,440,74,0,5,2009,WD,Normal,110000
81,60,RL,100.0,13000,Reg,Corner,NAmes,1Fam,2Story,6,6,1968,1968,Gable,VinylSd,VinylSd,BrkFace,576.0,TA,Gd,CBlock,Gd,No,Rec,448,448,896,TA,1182,960,2142,0,2,1,4,Gd,8,1,Attchd,1968.0,Fin,1,509,0,72,6,2009,WD,Normal,193500
82,120,RM,32.0,4500,Reg,FR2,Mitchel,TwnhsE,1Story,6,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,443.0,TA,Gd,PConc,Ex,No,GLQ,1201,36,1237,Ex,1337,0,1337,1,2,0,2,TA,5,0,Attchd,1998.0,Fin,2,405,0,199,3,2006,WD,Normal,153500
83,20,RL,78.0,10206,Reg,Inside,Somerst,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,468.0,TA,TA,PConc,Gd,No,GLQ,33,1530,1563,Ex,1563,0,1563,0,2,0,3,Gd,6,1,Attchd,2007.0,RFn,3,758,144,99,10,2008,WD,Normal,245000
84,20,RL,80.0,8892,IR1,Inside,NAmes,1Fam,1Story,5,5,1960,1960,Gable,MetalSd,MetalSd,BrkCmn,66.0,TA,TA,CBlock,TA,No,Unf,0,1065,1065,Gd,1065,0,1065,0,1,1,3,TA,6,0,Detchd,1974.0,Unf,2,461,74,0,7,2007,COD,Normal,126500
86,60,RL,121.0,16059,Reg,Corner,NoRidge,1Fam,2Story,8,5,1991,1992,Hip,HdBoard,HdBoard,BrkFace,284.0,Gd,TA,CBlock,Gd,No,Unf,0,1288,1288,Ex,1301,1116,2417,0,2,1,4,Gd,9,1,Attchd,1991.0,Unf,2,462,127,82,4,2006,WD,Normal,260000
87,60,RL,122.0,11911,IR2,Inside,Gilbert,1Fam,2Story,6,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Av,Unf,0,684,684,Ex,684,876,1560,0,2,1,3,Gd,6,1,BuiltIn,2005.0,Fin,2,400,100,38,3,2009,WD,Normal,174000
88,160,FV,40.0,3951,Reg,Corner,Somerst,TwnhsE,2Story,6,5,2009,2009,Gable,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,Gd,Av,Unf,0,612,612,Ex,612,612,1224,0,2,1,2,Gd,4,0,Detchd,2009.0,RFn,2,528,0,234,6,2009,New,Partial,164500
92,20,RL,85.0,8500,Reg,Inside,NAmes,1Fam,1Story,5,3,1961,1961,Hip,HdBoard,HdBoard,BrkCmn,203.0,TA,TA,CBlock,TA,No,Rec,600,635,1235,TA,1235,0,1235,0,1,0,2,TA,6,0,Attchd,1961.0,Unf,2,480,0,0,12,2006,WD,Abnorml,98600
93,30,RL,80.0,13360,IR1,Inside,Crawfor,1Fam,1Story,5,7,1921,2006,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,Gd,No,ALQ,713,163,876,Ex,964,0,964,1,1,0,2,TA,5,0,Detchd,1921.0,Unf,2,432,0,0,8,2009,WD,Normal,163500
94,190,C (all),60.0,7200,Reg,Corner,OldTown,2fmCon,2.5Unf,6,6,1910,1998,Hip,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Mn,Rec,1046,168,1214,Ex,1260,1031,2291,0,2,0,4,TA,9,1,Detchd,1900.0,Unf,2,506,0,0,11,2007,WD,Normal,133900
95,60,RL,69.0,9337,IR1,Inside,CollgCr,1Fam,2Story,6,5,1997,1997,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,No,GLQ,648,176,824,Ex,905,881,1786,1,2,1,3,Gd,7,0,Attchd,1997.0,RFn,2,684,0,162,5,2007,WD,Normal,204750
97,20,RL,78.0,10264,IR1,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,Gable,VinylSd,VinylSd,BrkFace,183.0,Gd,TA,PConc,Gd,Av,ALQ,1162,426,1588,Ex,1588,0,1588,0,2,0,3,Gd,6,0,Attchd,1999.0,RFn,2,472,158,29,8,2006,WD,Normal,214000
98,20,RL,73.0,10921,Reg,Inside,Edwards,1Fam,1Story,4,5,1965,1965,Hip,HdBoard,HdBoard,BrkFace,48.0,TA,TA,CBlock,TA,No,Rec,520,440,960,TA,960,0,960,1,1,0,3,TA,6,0,Attchd,1965.0,Fin,1,432,120,0,5,2007,WD,Normal,94750
99,30,RL,85.0,10625,Reg,Corner,Edwards,1Fam,1Story,5,5,1920,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,ALQ,108,350,458,Fa,835,0,835,0,1,0,2,TA,5,0,Basment,1920.0,Unf,1,366,0,0,5,2010,COD,Abnorml,83000
102,60,RL,77.0,9206,Reg,Inside,SawyerW,1Fam,2Story,6,5,1985,1985,Gable,HdBoard,HdBoard,BrkFace,336.0,Gd,TA,CBlock,Gd,No,Unf,0,741,741,TA,977,755,1732,0,2,1,3,Gd,7,1,Attchd,1985.0,Fin,2,476,192,46,6,2010,WD,Normal,178000
104,20,RL,94.0,10402,IR1,Corner,CollgCr,1Fam,1Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,No,Unf,0,1226,1226,Ex,1226,0,1226,0,2,0,3,Gd,6,0,Attchd,2009.0,RFn,3,740,0,36,5,2010,WD,Normal,198900
